n,r,m
"(:测试题 {题目: Lauda Co has two divisions with the following results in the table below:

Division A	Division B
$m	$m
Sales revenue	1,000	1,240
Variable costs	400	500
Contribution	600	740
Divisional fixed costs	650	600
Allocated Head Office costs	50	150
Divisional net loss	(100)	(10)
If a division is shut down, then Lauda Co will avoid all the division's specific costs and half of the Head Office costs allocated to the division.
What will be the revised total divisional net loss if Lauda Co chooses to shut down Division A? (in millions),回顾: false,答案: The correct answer is 35 millions.
WORKING
Lost revenue (1,000m)
Saved variable costs 400m
Saved divisional fixed costs 650m
Saved allocated Head Office costs (50%) 25m
Overall saving 75m
Current total divisional net loss ($100m + $10m) = (110m)
Revised total divisional net loss (35m),标题: Revised Total Divisional Net Loss})",[:考察],"(:知识点 {中文: 停产决策,考点: true,难点: true,回顾: false,标题: Shut-down decision,内容: A shutdown decision is whether to close down an operation or stop making and selling a particular product or service. · Where managers are given an analysis of profits by division, it may be tempting to assume that loss-making divisions should be shut down. However, before such decisions are taken, managers must know which relevant costs would be saved if the division were closed down. · In particular, the head office may have allocated fixed costs to the division. These may not be saved if the division is closed down. Non-incremental costs should be ignored in decision making. · When making shutdown decisions, management should consider non-financial factors as well as whether losses can be reduced. For example: · If closing a division would result in redundancies, this could lead to poor morale among remaining employees. · The permanent loss of resources and specific skills may mean that it will not be possible to take advantage of future opportunities. · Shutting down one division may affect demand for products produced by other divisions (e.g. if customers like to buy a range of products from one supplier, closing a particular division will limit the range that is available). · It may be possible to bring a loss-making division back to profitability by developing new products or services. · Shutting down a division may make it possible to sell assets such as buildings to raise finance for other divisions or to reduce debt. · Rolling Co has four divisions: North, South, East and West. The directors are concerned about the performance of the East and West divisions, which have consistently shown losses for the last three years.,重点: true})"
"(:测试题 {题目: Ardvec makes four products which sell in roughly equal volume. Data in respect of each product is shown below:
Per unit		Economy	Standard Premium Deluxe
Selling price		$28	$32	 $37	 $40
Variable cost		$13	$16	 $20	 $22
Direct labour hours	0.17	0.22	0.28	0.31
In the coming period, a shortage of direct labour means that Ardvec can only manufacture three products.
In order to maximise short term profit which product should NOT be produced?
A.Economy
B.Standard
C.Premium
D.Deluxe,回顾: false,答案: The correct answer is D.
WORKING
Per unit		Economy	Standard Premium Deluxe
Selling price		$28	$32	$37	$40
Variable cost		$13	$16	$20	$22
Contribution per unit	15	16	17	18
Direct labour hours per unit	0.17	0.22	0.28	0.31
Contribution per labour hour	88.24	72.72	60.71	58.06
Therefore, ranking	1st	2nd	3rd	4th
Since only three products can be made, the Deluxe would be dropped.,标题: Product Selection for Maximum Profit})",[:考察],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:测试题 {题目: The following statements have been made about outsourcing:
1.Outsourcing an activity always leads to short-term cost savings
2.Outsourcing an activity normally reduces the risk of under-utilising the resources used in undertaking the activity internally
Which of the above statements is true/false?
Statement 1  Statement 2
A.True	False
B.False	True
C.True	True
D.False	False,回顾: false,答案: The correct answer is B.
Tutorial note: Outsourcing often leads to cost savings in the longer run, but there are situations where companies may outsource activities for reasons of quality even though the cost of outsourcing may be higher – so it is not always true that outsourcing leads to short term cost savings. Statement 1 is therefore incorrect.
If an activity is performed internally the organisation may incur additional fixed costs that it would not otherwise incur (e.g. salaries of staff performing the activity). There is therefore a risk that resources, such as staff, may not be fully utilised. Statement 2 is correct. One of the advantages of outsourcing is that the organisation only pays for the goods or services provided.,标题: Outsourcing Statements})",[:考察],"(:知识点 {中文: 外包,考点: true,难点: false,回顾: false,标题: Outsourcing,内容: Outsourcing is buying goods or services externally rather than making or providing them internally. · For many years, there has been a trend towards outsourcing non-core services. Examples of services that are often outsourced include: · Office cleaning; · Canteen and catering services; · Payroll services; · IT services; · Security services. · Outsourcing is not limited to providing services; parts of manufacturing processes also may be outsourced. This trend has been strengthened by the reduced costs of international trade; many components may be made in lower-cost economies, and the assembly of the final products may take place closer to the markets in which the products are sold. · The decision companies may have to make, therefore, is whether to make components in-house or to buy them from an external supplier. · Advantages of Outsourcing: · Lower cost. Many companies have discovered that some goods or services may be purchased for less than it would cost to provide them internally. This may be due to the economies of scale enjoyed by the third-party provider. · Services may become a variable cost rather than a fixed cost if outsourced. For example, the cost of outsourcing payroll services may be based on the number of personnel. If payroll services were sourced in-house, staff would have to be employed to provide this service (i.e. effectively a fixed or stepped cost). · Outsourcing allows management to focus on the core competencies of the business without being distracted by managing peripheral areas. · A specialist supplier may be able to supply goods or services of higher quality. · Access to a broader range of expertise as the provider deals with several clients. For example, a provider of IT services may have employees with a wider range of skills and knowledge than an internal IT function. · Disadvantages of Outsourcing: · The company relies on a third party to provide a reliable supply. Therefore, it loses control over a part of its business processes. · Outsourcing may mean trusting a third party with confidential information about goods or services. · Some costs may not be apparent (i.e. hidden) as anything not explicitly covered by the contract will incur additional charges. · Quality may suffer, especially if the contract price per unit is fixed (i.e. the third party can only increase its profit by reducing costs). · Operational dependence on the outsourcing company is linked to its financial stability. Switching to another provider may be very costly if the third-party company fails. · Outsourcing may demotivate the workforce if the decision to outsource is associated with job losses. (There may also be bad publicity where outsourcing is to another country.) · When deciding whether to outsource the manufacture of a particular component, organisations will obviously want to calculate the financial effect. Although financial impact will not be the only factor to be considered, it will likely be significant. · If a company outsources all production of an item, there will be no in-house production. This may lead to some fixed cost savings since less production capacity will be required. · The approach here is to determine the costs saved if in-house production ceases, including any incremental fixed costs, and compare this with the costs of buying-in the component from an external supplier.,重点: true})"
"(:测试题 {题目: The following graph relates to a linear programming problem:
Description of the graph: The chart shows three lines labeled (1), (2), and (3): Line (1): Starts higher on the y-axis and slopes downward, crossing the x-axis. Line (2): Starts lower than Line (1), also slopes downward, crosses Line (1), and then crosses the x-axis further to the right. Line (3): A dashed curve starting at the origin (0,0), curving upward to intersect both Line (1) and Line (2).)
The objective is to maximise contribution and the dotted line on the graph depicts this function. There are three constraints which are all of the “less than or equal to” type which are depicted on the graph by the three solid lines labelled (1), (2) and (3).
At which intersection is contribution maximised?
A.Constraints (1) and (2)
B.Constraints (2) and (3)
C.Constraints (1) and (3)
D.Constraint (1) and the x-axis,回顾: false,答案: The correct answer is D.
Tutorial note: This represents the point in the feasible region that is furthest from the origin.,标题: Linear Programming Problem})",[:考察],"(:知识点 {中文: 线性规划,考点: false,难点: false,回顾: false,标题: Linear programming,重点: false,内容: In situations where more than one factor is limited, an alternative approach is used to determine the optimal production so as to maximise contribution (and, therefore, profit). This technique is linear programming. linear programming has the following characteristics: ✧A mathematical technique for problems of rationing scarce resources between products to achieve optimum benefit. ✧Objective function − quantifies the objective. For ✧profit maximisation (which is always by maximising contribution); ✧cost minimisation. ✧Based on the assumption that the objective and the constraints may be expressed as linear equations. ✧The syllabus only includes situations involving two variables. This allows the equations to be shown as straight lines on a graph. ✧The graph can be used to identify the optimal solution. ✧The optimal solution must be solved algebraically (e.g. using simultaneous equations). The process of graphing a linear programming model includes the following steps: Step 1 Define unknowns. For example, x = Number of units of output of one of the products and y = Number of units of output of the other product. Step 2 Formulate the objective function, either to maximise contribution or to minimise cost. Remember to use contribution, not profit. Step 3 Express constraints in terms of inequalities (including non-negativity). Constraints (limiting factors) may include resource constraints, production constraints and/or levels of demand. Step 4 Plot all constraints on a graph and identify the feasible region. Having drawn the graph, the optimal solution can be solved using one of two methods: ✧The objective function method − also referred to as the iso-contribution method. This enables the solution to be read from the graph (if the graph is drawn accurately). ✧The simultaneous equation method.})"
"(:测试题 {题目: A company manufactures and sells two products (X and Y) which have contributions per unit of $8 and $20 respectively. The company aims to maximise profit. Two materials (G and H) are used in the manufacture of each product. Both materials are in short supply; only 1,000 kg of G and 1,800 kg of H are available next period. The company holds no inventory and it can sell all the units produced.
The management accountant has drawn the following graph accurately showing the constraints for materials G and H:
(Description of the graph: The chart shows the relationship between two products, Product Y and Product X, in terms of their material content: Product X (units) is on the horizontal axis, ranging from 0 to 150 units. Product Y (units) is on the vertical axis, ranging from 0 to 100 units. There are two lines: Material H: Starts at around 90 units of Product Y and decreases linearly as Product X increases. Material G: Starts at around 100 units of Product Y and decreases more steeply than Material G, ending around 125 units of Product X. This chart indicates that as more of Product X is produced using either material, less of Product Y can be produced.)
What is the optimal mix of production (in units) for the next period?
A.   0  90
B.   50  60
C.   60  50
D.   125 0,回顾: false,答案: The correct answer is A.
WORKING
Total contribution from:
A 90 units of Y (90 * $20) = $1,800
B 50 units of X + 60 units of Y (50 * 8) + (60 * 20) = $1,600
C 60 units of X + 50 units of Y (60 * 8) + (50 * 20) = $1,480
D 125 units of X (125 * 8) = $1,000
Optimal mix is the one giving the highest total contribution ($1,800)
Tutorial note: The best approach here is to calculate the total contribution for each option given in the question rather than trying to use the graph to solve.,标题: Optimal Mix of Production})",[:考察],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:测试题 {题目: A company manufactures two products (L and M) using the same material and labour. It holds no inventory. Information about the variable costs and maximum demands are as follows:
			Product L	Product M
			$ per unit	$ per unit
Material($4 per litre)	13		19
Labour ($7 per hour)	35		28
			Units		Units
Maximum monthly demand	6,000		8,000
Each month 50,000 litres of material and 60,000 labour hours are available.
Which one of the following statements is correct?
A.Material is a limiting factor but labour is not a limiting factor
B.Material is not a limiting factor but labour is a limiting factor
C.Neither material nor labour is a limiting factor
D.Both material and labour are limiting factors,回顾: false,答案: The correct answer is D.
WORKING
Material required to meet maximum demand:
6,000 * (13/4) + 8,000 * (19/4) = 57,500 litres
Material available: 50,000 litres
So material is a limiting factor
Labour required to meet maximum demand:
6,000 * (35/7) + 8,000 * (28/7) = 62,000 hours
Labour available: 60,000 hours
So labour is a limiting factor,标题: Limiting Factors in Production})",[:考察],"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})"
"(:测试题 {题目: A company has the following production planned for the next four weeks. Figures reflect the full capacity level of operations. Output is planned to meet the maximum demand per product.
Product				A	B	C	D
				$ per unit	$ per unit	$ per unit	$ per unit
Selling price			160	214	100	140
Raw material cost		24	56	22	40
Direct labour cost		66	88	33	22
Variable overhead cost		24	18	24	18
Fixed overhead cost		16	10	8	12
Profit				30	42	13	48
Planned output			300	125	240	400
Direct labour hours per unit	6	8	3	2
Only 2,160 direct labour hours will be available for production for the next four weeks rather than the usual 4,320 hours.
Which product or products should be produced if profits are to be maximised over the next four weeks?
A.D and A
B.B and D
C.D only
D.B and C,回顾: false,答案: The correct answer is A.
WORKING
Product				A	B	C	D
Selling price per unit		$160.	$214.	$100	$140
Raw material cost		$24	$56	$22	$40
Direct labour cost at $11 per hour	$66	$88	$33	$22
Variable overhead cost		$24	$18	$24	$18
Contribution per unit		$46	$52	$21	$60
Direct labour hours per unit	6	8	3	2
Contribution per labour hour	$7.67	$6.50	$7	$30
Rank				2	4	3	1
Normal monthly hours
(total units * hours per unit)	1,800	1,000	720	800
Only 2,160 labour hours will be available.
Therefore make all of D, then 1,360 hours’ worth of A (2,160 − 800 hrs).,标题: Maximising Profits with Limited Labour Hours})",[:考察],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:测试题 {题目: C Co uses material B, which has a current market price of $0.80 per kg. In a linear program, where the objective is to maximise profit, the shadow price of material B is $2 per kg. The following statements have been made:
1. Contribution will be increased by $2 for each additional kg of material B purchased at the current market price
2. The maximum price which should be paid for an additional kg of material B is $2
3. Contribution will be increased by $1.20 for each additional kg of material B purchased at the current market price
4. The maximum price which should be paid for an additional kg of material B is $2.80
Which of the above statements is/are correct?
A.2 only
B.2 and 3
C.1 and 3
D.1 and 4,回顾: false,答案: The correct answer is D.
Tutorial note: (2) is wrong as it reflects the common misconception that the shadow price is the maximum price which should be paid, rather than the maximum extra over the current purchase price. (3) is wrong but could be thought to be correct if (2) was wrongly assumed to be correct.,标题: Limiting Factor Analysis for Material B})",[:考察],"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})"
"(:测试题 {题目: Highfly Co manufactures two products, X and Y, and any quantities produced can be sold for $60 per unit and $25 per unit respectively. Variable costs per unit are as follows:
		Product X	Product Y
		$		$
Materials (at $5 per kg)	15	5
Labour (at $6 per hour)	24	3
Other variable costs	6	5
Total			45	13
Next month, only 4,200 kg of material and 3,000 labour hours will be available. The company aims to maximise its profits each month.
Highfly Co will use a linear programming model to establish an optimum production plan. In the model x is the number of units of product X and y is the number of units of product Y.
Which of the following objective functions and constraint statements (relating to material and labour respectively) is correct?
Objective function	Material constraint	Labour constraint
A.60x + 25y	3x + y ≤ 4,200	4x + 0.5y ≤ 3,000
B.15x + 12y	3x + y ≥ 4,200	4x + 0.5y ≥ 3,000
C.15x + 12y	3x + y ≤ 4,200	4x + 0.5y ≤ 3,000
D.60x + 25y	3x + y ≥ 4,200	x + 0.5y ≥ 3,000,回顾: false,答案: The correct answer is C.
WORKING
Contribution for X = $15 ($60 − $45)
Contribution for Y = $12 ($25 − $13)
Objective function = 15x + 12y
Constraints:
Material = 3x + y ≤ 4,200 (as X uses 3 kg of material (15/5), Y uses 1 kg (5/5))
Labour = 4x + 0.5y ≤ 3,000 (as X uses 4 labour hrs (24/6), Y uses 0.5 hrs (3/6)),标题: Objective Functions and Constraint Statements})",[:考察],"(:知识点 {中文: 线性规划,考点: false,难点: false,回顾: false,标题: Linear programming,重点: false,内容: In situations where more than one factor is limited, an alternative approach is used to determine the optimal production so as to maximise contribution (and, therefore, profit). This technique is linear programming. linear programming has the following characteristics: ✧A mathematical technique for problems of rationing scarce resources between products to achieve optimum benefit. ✧Objective function − quantifies the objective. For ✧profit maximisation (which is always by maximising contribution); ✧cost minimisation. ✧Based on the assumption that the objective and the constraints may be expressed as linear equations. ✧The syllabus only includes situations involving two variables. This allows the equations to be shown as straight lines on a graph. ✧The graph can be used to identify the optimal solution. ✧The optimal solution must be solved algebraically (e.g. using simultaneous equations). The process of graphing a linear programming model includes the following steps: Step 1 Define unknowns. For example, x = Number of units of output of one of the products and y = Number of units of output of the other product. Step 2 Formulate the objective function, either to maximise contribution or to minimise cost. Remember to use contribution, not profit. Step 3 Express constraints in terms of inequalities (including non-negativity). Constraints (limiting factors) may include resource constraints, production constraints and/or levels of demand. Step 4 Plot all constraints on a graph and identify the feasible region. Having drawn the graph, the optimal solution can be solved using one of two methods: ✧The objective function method − also referred to as the iso-contribution method. This enables the solution to be read from the graph (if the graph is drawn accurately). ✧The simultaneous equation method.})"
"(:测试题 {题目: Which of the following statements about graphical linear programming with the objective of maximising profit is true?
1. If a resource constraint line does not pass through the optimum point on the graph, then the shadow price of that resource is zero
2. The shadow price is the maximum amount a company should pay for one more unit of a scarce resource
3. The slope or gradient of the objective function depends on the amount of resources available to the organisation
A.1 only
B.1 and 2 only
C.2 and 3 only
D.1, 2 and 3,回顾: false,答案: The correct answer is A.
Tutorial note: A resource with a constraint line that does not pass through the optimum point on the graph has a shadow price of zero; another unit of that resource will not change the optimum solution or the contribution earned.
The shadow price is the maximum premium amount that a company should be prepared to pay (i.e. in addition to its existing cost).
The slope or gradient of an objective function to maximise profit depends on the unit contributions of each product.,标题: Graphical Linear Programming})",[:考察],"(:知识点 {中文: 线性规划,考点: false,难点: false,回顾: false,标题: Linear programming,重点: false,内容: In situations where more than one factor is limited, an alternative approach is used to determine the optimal production so as to maximise contribution (and, therefore, profit). This technique is linear programming. linear programming has the following characteristics: ✧A mathematical technique for problems of rationing scarce resources between products to achieve optimum benefit. ✧Objective function − quantifies the objective. For ✧profit maximisation (which is always by maximising contribution); ✧cost minimisation. ✧Based on the assumption that the objective and the constraints may be expressed as linear equations. ✧The syllabus only includes situations involving two variables. This allows the equations to be shown as straight lines on a graph. ✧The graph can be used to identify the optimal solution. ✧The optimal solution must be solved algebraically (e.g. using simultaneous equations). The process of graphing a linear programming model includes the following steps: Step 1 Define unknowns. For example, x = Number of units of output of one of the products and y = Number of units of output of the other product. Step 2 Formulate the objective function, either to maximise contribution or to minimise cost. Remember to use contribution, not profit. Step 3 Express constraints in terms of inequalities (including non-negativity). Constraints (limiting factors) may include resource constraints, production constraints and/or levels of demand. Step 4 Plot all constraints on a graph and identify the feasible region. Having drawn the graph, the optimal solution can be solved using one of two methods: ✧The objective function method − also referred to as the iso-contribution method. This enables the solution to be read from the graph (if the graph is drawn accurately). ✧The simultaneous equation method.})"
"(:测试题 {题目: A manufacturing company uses machine C, which is operational for five hours a day to manufacture four products: W, X, Y and Z. Factory costs are $150,000 per day. The company uses throughput accounting and its objective is to maximise profits.
Information relating to these products is as follows:
	Production rate	Selling price	Material cost	Conversion cost
Product	per machine hour	per unit	per unit	per unit
			$		$		$		$
W	200	350	120	40
X	500	190	95	25
Y	400	270	160	20
Z	350	215	75	35
If the company is not able to increase the availability of machine C's operational hours, what is the production ranking of product Y?
A.First
B.Second
C.Third
D.Fourth,回顾: false,答案: The correct answer is D.
Tutorial note: As the products are all produced in the same factory, the cost per machine hour will be the same across all the products so they can be ranked on their throughput return per machine hour (otherwise they should be ranked on their throughput accounting ratio).
WORKING
Production rate	Throughput per unit	Throughput per	Ranking of
Product	per machine hour	(selling price–material cost per unit)	machine hour	products
			$			$		
W	200	(350 – 120)=230	46,000	3rd
X	500	(190 – 95)=95	47,500	2nd
Y	400	(270 – 160)=110	44,000	4th
Z	350	(215 – 75)=140	49,000	1st,标题: Production Ranking})",[:考察],"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})"
"(:测试题 {题目: A manufacturing company uses machine C, which is operational for five hours a day to manufacture four products: W, X, Y and Z. Factory costs are $150,000 per day. The company uses throughput accounting and its objective is to maximise profits.
Information relating to these products is as follows:
	Production rate	Selling price	Material cost	Conversion cost
Product	per machine hour	per unit	per unit	per unit
			$		$		$		$
W	200	350	120	40
X	500	190	95	25
Y	400	270	160	20
Z	350	215	75	35
If the company is not able to increase the availability of machine C's operational hours, what is the production ranking of product Y?
A.First
B.Second
C.Third
D.Fourth,回顾: false,答案: The correct answer is D.
Tutorial note: As the products are all produced in the same factory, the cost per machine hour will be the same across all the products so they can be ranked on their throughput return per machine hour (otherwise they should be ranked on their throughput accounting ratio).
WORKING
Production rate	Throughput per unit	Throughput per	Ranking of
Product	per machine hour	(selling price–material cost per unit)	machine hour	products
			$			$		
W	200	(350 – 120)=230	46,000	3rd
X	500	(190 – 95)=95	47,500	2nd
Y	400	(270 – 160)=110	44,000	4th
Z	350	(215 – 75)=140	49,000	1st,标题: Production Ranking})",[:考察],"(:知识点 {中文: 单一限制因素下的生产计划,考点: false,难点: false,回顾: false,标题: Production planning under one limiting factor,内容: the approach is used to decide which product(s) to make to maximise contribution and, therefore, profit where one of the factors of production is limited. We need to identify the optimal production plan through five steps: 1. Identify the limiting factor. To find this, calculate how many units of each resource are required to produce sufficient quantities of each product to meet maximum demand. A resource is a limiting factor if it has insufficient availability to meet maximum demand. 2. Calculate the contribution per unit of each product. 3. Calculate contribution per unit of limiting factor for each product: 4. Rank the products according to the contribution per unit of limiting factor, with products with the largest contribution per limiting factor ranked first; and 5. Concentrate production on those products with the highest contribution per unit of limiting factor – until all the scarce resource is used up, or maximum demand is fulfilled, whichever is first.,重点: false})"
"(:测试题 {题目: Cornaur Products uses a scarce material in the manufacture of four products. Data per unit of each product is shown below:

		Y	W	S	E
Selling price		$38.72	$29.86	$41.17	$31.25
Variable cost		$30.58	$25.56	$34.19	$20.53
Material input (kg)	1.7	1.5	1.9	1.6
In the next period, insufficient material will be available to manufacture all four products and therefore one product must be discontinued.
In order to maximise short-term profit, which product should be discontinued?
A.Product Y
B.Product W
C.Product S
D.Product E,回顾: false,答案: The correct answer is B.

		Y	W	S	E
		$ 	$ 	$ 	$
Selling price per unit	38.72	29.86	41.17	31.25
Variable cost per unit	30.58	25.56	34.19	20.53
Contribution per unit	8.14	4.30	6.98	10.72
Material input	1.7kg	1.5kg	1.9kg	1.6kg
Contribution per kg	4.79	2.87	3.67	6.70

Cease production of product with lowest contribution per unit of limiting factor, i.e. W.,标题: Discontinuation of a Product to maximize short-term profit})",[:考察],"(:知识点 {中文: 单一限制因素分析,考点: false,难点: false,回顾: false,标题: One limiting factor analysis,重点: false,内容: the technique to appreciate the problems associated with scarce resources and  used in decision making involving one constraints. In the short term, sales demand may be greater than productive capacity. For example, output may be restricted by a shortage of: ·labour; ·materials; ·machinery; or ·factory space. Where such limiting factors apply, contribution (and therefore profit) is maximised by using scarce resources on the product(s) which make the \""best use\"" of them. It is important to note that the final limiting factor is always maximum sales demand. Limitations of the one limiting factor analysis to decision making include the following: ·It assumes a single objective of contribution/profit maximisation. ·It assumes constant variable cost per unit and constant total fixed costs; this may only hold over a narrow range of activity (e.g. discounts may apply to materials or sales for larger quantities). ·It deals with only one scarce resource; if there is more than one, linear programming must be used. ·It applies only to situations where capacity constraints cannot be removed in the short term.})"
"(:测试题 {题目: Burseldon Co manufactures two products, the Cee and the Dee. Information about the products is as follows:

		Cee	Dee
$ per unit		$ per unit
Selling price		240	270
Material ($5 per kg)	25	30
Labour ($20 per hour)	80	100
Variable overhead	30	44
Fixed overhead		40	48
In the next period, maximum demand for each product will be 60,000 units of Cee and 45,000 units of Dee. Material will be restricted to 500,000 kg.
What is the shadow price of material?
A.$0
B.$8
C.$16
D.$21,回顾: false,答案: The correct answer is C.
Firstly check whether material is a constraint.
Cee material used per unit = $25/$5 kg = 5 kg
Dee material used per unit = $30/$5 kg = 6 kg
Total material used = (60,000 * 5) kg + (45,000 * 6) kg = 570,000 kg
This is greater than 500,000 kg, indicating material is a constraint.
Contribution per unit of Cee = $240 − $25 − $80 − $30 = $105
Contribution per unit of Dee = $270 − $30 − $100 − $44 = $96
Contribution per unit of scarce resource
Cee = $105/5 = $21, Dee = $96/6 = $16
Cee will be produced first. Material requirements for Cee = 60,000 * 5kg = 300,000 kg, less than the 500,000 kg available, so the shadow price will be the contribution per unit of scarce resource for Dee as production of Dee will be restricted.,标题: Shadow Price of Material})",[:考察],"(:知识点 {考点: false,难点: false,回顾: false,标题: Shadow Price under one limiting factor,重点: false,内容: the additional contribution that would be generated if one more unit of the scarce resource were to become available. The significance of the shadow price is that companies may be able to obtain additional quantities of a scarce resource if they are prepared to pay a higher price. The shadow price represents the maximum premium over the normal price the company would be prepared to pay for each additional unit.})"
"(:测试题 {题目: Riley Co manufactures two products, the eg and the pey. The following constraints have been identified in relation to labour and machine time:
Labour time 6eg + 4pey ≤ 9,000 hours
Machine time 0.4eg + 0.3pey ≤ 625hours
Maximum demand in the period is 750eg and 1,000pey.
Which of the following is/are slack resources?
A.Labour time only
B.Machine time only
C.Neither labour nor machine time
D.Both labour and machine time,回顾: false,答案: The correct answer is D.
Assuming maximum demand:
Labour time = (6 * 750) + (4 * 1,000) = 8,500 hours, less than the 9,000 hours maximum
Machine time = (0.4 * 750) + (0.3 * 1,000) = 600 hours, less than the 625 hours maximum,标题: Slack Resources})",[:考察],"(:知识点 {中文: 冗余,考点: false,难点: false,回顾: false,标题: Slack,内容: The difference between maximum resources available and resources used at the optimal point. For binding constraints, the value of slack is zero. In linear programming problems involving several constraints, it is possible that not all constraints are binding at the optimal point (i.e. at the level of production which maximises contribution, not all of the available supply of one or more of the inputs is used).,重点: false})"
